unix,date,symbol,open,high,low,close,Volume EOS,Volume BTC,tradecount
1616112000000,2021-03-19 00:00:00,EOS/BTC,0.00007190,0.00007210,0.00007190,0.00007190,9192.66000000,0.66174215,97
1616025600000,2021-03-18 00:00:00,EOS/BTC,0.00006950,0.00007300,0.00006890,0.00007190,4133454.10000000,294.55837615,24800
1615939200000,2021-03-17 00:00:00,EOS/BTC,0.00007140,0.00007230,0.00006850,0.00006940,3099728.94000000,219.29062984,22384
1615852800000,2021-03-16 00:00:00,EOS/BTC,0.00006860,0.00007470,0.00006840,0.00007150,5353872.74000000,385.93376351,32878
1615766400000,2021-03-15 00:00:00,EOS/BTC,0.00006660,0.00006900,0.00006540,0.00006850,4971908.73000000,334.72045170,27538
1615680000000,2021-03-14 00:00:00,EOS/BTC,0.00007000,0.00007160,0.00006660,0.00006660,3455669.25000000,236.82533503,22549
1615593600000,2021-03-13 00:00:00,EOS/BTC,0.00006600,0.00007170,0.00006510,0.00007000,4475482.78000000,304.38304278,27466
1615507200000,2021-03-12 00:00:00,EOS/BTC,0.00006850,0.00006980,0.00006560,0.00006600,4433265.61000000,300.10902844,23628
1615420800000,2021-03-11 00:00:00,EOS/BTC,0.00007150,0.00007280,0.00006820,0.00006840,6443497.79000000,452.27519627,28795
1615334400000,2021-03-10 00:00:00,EOS/BTC,0.00007600,0.00007620,0.00007070,0.00007140,3932182.27000000,286.80005283,23900
1615248000000,2021-03-09 00:00:00,EOS/BTC,0.00007440,0.00007650,0.00007220,0.00007590,5121132.62000000,380.29551875,32596
1615161600000,2021-03-08 00:00:00,EOS/BTC,0.00007510,0.00007740,0.00007420,0.00007450,5010847.89000000,379.32411878,28312
1615075200000,2021-03-07 00:00:00,EOS/BTC,0.00007610,0.00007650,0.00007400,0.00007520,2710775.06000000,203.17376477,18515
1614988800000,2021-03-06 00:00:00,EOS/BTC,0.00007570,0.00007760,0.00007550,0.00007620,2570744.57000000,196.97024675,18288
1614902400000,2021-03-05 00:00:00,EOS/BTC,0.00007750,0.00007810,0.00007520,0.00007570,3193545.65000000,245.13164867,23539
1614816000000,2021-03-04 00:00:00,EOS/BTC,0.00007590,0.00007820,0.00007520,0.00007750,4487695.90000000,345.30945090,28948
1614729600000,2021-03-03 00:00:00,EOS/BTC,0.00007570,0.00008120,0.00007440,0.00007600,6109999.96000000,471.81336671,38765
1614643200000,2021-03-02 00:00:00,EOS/BTC,0.00007480,0.00007840,0.00007400,0.00007570,5250100.46000000,397.78267072,28585
1614556800000,2021-03-01 00:00:00,EOS/BTC,0.00007700,0.00007710,0.00007390,0.00007480,3619608.75000000,272.20704398,23523
1614470400000,2021-02-28 00:00:00,EOS/BTC,0.00007970,0.00007980,0.00007510,0.00007700,3647232.02000000,282.00401576,25731
1614384000000,2021-02-27 00:00:00,EOS/BTC,0.00007660,0.00008130,0.00007650,0.00007960,3736213.89000000,295.69721686,30552
1614297600000,2021-02-26 00:00:00,EOS/BTC,0.00007790,0.00007860,0.00007460,0.00007670,4758494.29000000,367.64070952,31594
1614211200000,2021-02-25 00:00:00,EOS/BTC,0.00007840,0.00008020,0.00007610,0.00007790,4787755.09000000,374.62968306,36614
1614124800000,2021-02-24 00:00:00,EOS/BTC,0.00007880,0.00008090,0.00007730,0.00007840,5887339.56000000,465.71691360,38867
1614038400000,2021-02-23 00:00:00,EOS/BTC,0.00008670,0.00008740,0.00007020,0.00007870,15017036.48000000,1184.88830230,88511
1613952000000,2021-02-22 00:00:00,EOS/BTC,0.00008880,0.00009520,0.00008370,0.00008670,12148309.21000000,1074.75019879,81702
1613865600000,2021-02-21 00:00:00,EOS/BTC,0.00008670,0.00009600,0.00008520,0.00008890,6491803.94000000,576.82148911,50885
1613779200000,2021-02-20 00:00:00,EOS/BTC,0.00009350,0.00009890,0.00008250,0.00008670,11548453.73000000,1059.63314703,71346
1613692800000,2021-02-19 00:00:00,EOS/BTC,0.00009340,0.00010200,0.00009090,0.00009360,12937118.33000000,1247.63030240,75271
1613606400000,2021-02-18 00:00:00,EOS/BTC,0.00009300,0.00009550,0.00009140,0.00009340,9242288.28000000,867.33775956,48013
1613520000000,2021-02-17 00:00:00,EOS/BTC,0.00009450,0.00009510,0.00008960,0.00009290,9770687.09000000,906.18062826,50639
1613433600000,2021-02-16 00:00:00,EOS/BTC,0.00009830,0.00010020,0.00009140,0.00009460,15523934.45000000,1501.30239414,71861
1613347200000,2021-02-15 00:00:00,EOS/BTC,0.00010430,0.00010750,0.00009000,0.00009830,13247172.86000000,1312.84212617,88852
1613260800000,2021-02-14 00:00:00,EOS/BTC,0.00011780,0.00011870,0.00010070,0.00010430,15433409.33000000,1672.97413905,93328
1613174400000,2021-02-13 00:00:00,EOS/BTC,0.00010050,0.00011780,0.00009700,0.00011770,19265710.97000000,2063.41455062,109771
1613088000000,2021-02-12 00:00:00,EOS/BTC,0.00009550,0.00010230,0.00008990,0.00010030,12070189.03000000,1163.38684883,72741
1613001600000,2021-02-11 00:00:00,EOS/BTC,0.00009200,0.00009750,0.00008960,0.00009550,10841596.64000000,1008.50298034,68101
1612915200000,2021-02-10 00:00:00,EOS/BTC,0.00008970,0.00009770,0.00008180,0.00009210,18868704.04000000,1707.38905183,109588
1612828800000,2021-02-09 00:00:00,EOS/BTC,0.00007750,0.00009170,0.00007580,0.00008980,20677597.46000000,1695.10361067,98137
1612742400000,2021-02-08 00:00:00,EOS/BTC,0.00008860,0.00008920,0.00007620,0.00007750,13025543.00000000,1085.11074305,69640
1612656000000,2021-02-07 00:00:00,EOS/BTC,0.00008190,0.00009310,0.00007890,0.00008860,14386052.91000000,1243.50805371,70193
1612569600000,2021-02-06 00:00:00,EOS/BTC,0.00008650,0.00008670,0.00007760,0.00008190,6417309.36000000,520.16244473,37120
1612483200000,2021-02-05 00:00:00,EOS/BTC,0.00008180,0.00008920,0.00008160,0.00008650,8207988.42000000,695.38345787,39980
1612396800000,2021-02-04 00:00:00,EOS/BTC,0.00008150,0.00008360,0.00007920,0.00008180,5617119.55000000,456.31295242,35270
1612310400000,2021-02-03 00:00:00,EOS/BTC,0.00008460,0.00008520,0.00008140,0.00008150,6432851.04000000,536.46646292,31542
1612224000000,2021-02-02 00:00:00,EOS/BTC,0.00009110,0.00009140,0.00008290,0.00008450,6498314.18000000,561.82391474,35062
1612137600000,2021-02-01 00:00:00,EOS/BTC,0.00008850,0.00009650,0.00008620,0.00009120,16658187.00000000,1532.92500368,73826
1612051200000,2021-01-31 00:00:00,EOS/BTC,0.00008550,0.00009130,0.00008360,0.00008850,8352896.24000000,731.54940653,43177
1611964800000,2021-01-30 00:00:00,EOS/BTC,0.00007960,0.00009170,0.00007850,0.00008550,10973323.69000000,927.65681452,51965
1611878400000,2021-01-29 00:00:00,EOS/BTC,0.00008120,0.00009100,0.00007270,0.00007950,12791200.43000000,992.60191367,57432
1611792000000,2021-01-28 00:00:00,EOS/BTC,0.00008240,0.00008840,0.00008090,0.00008120,6325809.03000000,528.81333254,29397
1611705600000,2021-01-27 00:00:00,EOS/BTC,0.00008100,0.00008430,0.00008030,0.00008250,4257713.51000000,350.16461933,22003
1611619200000,2021-01-26 00:00:00,EOS/BTC,0.00008210,0.00008330,0.00008000,0.00008100,2834607.51000000,231.98735041,16850
1611532800000,2021-01-25 00:00:00,EOS/BTC,0.00008420,0.00008460,0.00007830,0.00008210,4860540.00000000,397.32020959,22105
1611446400000,2021-01-24 00:00:00,EOS/BTC,0.00008430,0.00008620,0.00008310,0.00008410,2686273.33000000,227.06772797,19091
1611360000000,2021-01-23 00:00:00,EOS/BTC,0.00007950,0.00008740,0.00007930,0.00008430,5886470.73000000,488.74505938,30161
1611273600000,2021-01-22 00:00:00,EOS/BTC,0.00008240,0.00008450,0.00007850,0.00007960,5136443.11000000,419.27549501,29033
1611187200000,2021-01-21 00:00:00,EOS/BTC,0.00007820,0.00008370,0.00007800,0.00008250,5610496.18000000,454.18480801,30946
1611100800000,2021-01-20 00:00:00,EOS/BTC,0.00007770,0.00007990,0.00007720,0.00007840,3333260.10000000,261.48350772,20247
1611014400000,2021-01-19 00:00:00,EOS/BTC,0.00007690,0.00007980,0.00007190,0.00007770,6331499.59000000,490.86135258,27203
1610928000000,2021-01-18 00:00:00,EOS/BTC,0.00007710,0.00007790,0.00007530,0.00007680,3894988.25000000,299.22429774,20693
1610841600000,2021-01-17 00:00:00,EOS/BTC,0.00007720,0.00008100,0.00007570,0.00007720,4436707.34000000,343.47825884,22418
1610755200000,2021-01-16 00:00:00,EOS/BTC,0.00007490,0.00007780,0.00007350,0.00007710,4800999.08000000,363.88519160,26724
1610668800000,2021-01-15 00:00:00,EOS/BTC,0.00007160,0.00007840,0.00007080,0.00007500,7065483.00000000,525.17006916,31429
1610582400000,2021-01-14 00:00:00,EOS/BTC,0.00007400,0.00007410,0.00006940,0.00007160,5612069.07000000,401.92655640,25225
1610496000000,2021-01-13 00:00:00,EOS/BTC,0.00007630,0.00008060,0.00007330,0.00007410,6931923.25000000,538.86984863,31184
1610409600000,2021-01-12 00:00:00,EOS/BTC,0.00007530,0.00007840,0.00007440,0.00007620,8118677.71000000,618.59694193,34635
1610323200000,2021-01-11 00:00:00,EOS/BTC,0.00008020,0.00008270,0.00007480,0.00007540,16992001.30000000,1329.78159182,88171
1610236800000,2021-01-10 00:00:00,EOS/BTC,0.00009020,0.00009620,0.00007640,0.00008020,27932151.98000000,2368.06066869,114876
1610150400000,2021-01-09 00:00:00,EOS/BTC,0.00007660,0.00009270,0.00007570,0.00009000,13650940.17000000,1169.37627350,55918
1610064000000,2021-01-08 00:00:00,EOS/BTC,0.00008110,0.00008190,0.00007470,0.00007660,6767168.25000000,528.32240323,31917
1609977600000,2021-01-07 00:00:00,EOS/BTC,0.00009170,0.00009330,0.00008080,0.00008110,13169111.38000000,1146.35526870,57080
1609891200000,2021-01-06 00:00:00,EOS/BTC,0.00008510,0.00009910,0.00008170,0.00009170,15294481.89000000,1399.89270692,67388
1609804800000,2021-01-05 00:00:00,EOS/BTC,0.00008810,0.00009210,0.00008390,0.00008510,5374999.72000000,472.09093339,32473
1609718400000,2021-01-04 00:00:00,EOS/BTC,0.00008470,0.00009490,0.00008470,0.00008800,9362339.58000000,840.85003947,49003
1609632000000,2021-01-03 00:00:00,EOS/BTC,0.00008190,0.00008540,0.00007470,0.00008480,8505155.44000000,679.73723298,39867
1609545600000,2021-01-02 00:00:00,EOS/BTC,0.00009000,0.00009030,0.00007920,0.00008180,4239882.75000000,356.28929386,24770
1609459200000,2021-01-01 00:00:00,EOS/BTC,0.00008960,0.00009280,0.00008870,0.00008990,2429672.32000000,219.10626413,14747
1609372800000,2020-12-31 00:00:00,EOS/BTC,0.00009040,0.00009180,0.00008860,0.00008950,2884836.39000000,259.39089766,17071
1609286400000,2020-12-30 00:00:00,EOS/BTC,0.00009640,0.00009670,0.00008970,0.00009040,3154315.31000000,291.58448286,20699
1609200000000,2020-12-29 00:00:00,EOS/BTC,0.00010210,0.00010360,0.00009430,0.00009640,4179512.58000000,412.34912244,25426
1609113600000,2020-12-28 00:00:00,EOS/BTC,0.00010340,0.00010690,0.00009890,0.00010210,3828231.14000000,395.16645400,23978
1609027200000,2020-12-27 00:00:00,EOS/BTC,0.00009860,0.00010530,0.00009110,0.00010340,6936126.05000000,685.45424476,36734
1608940800000,2020-12-26 00:00:00,EOS/BTC,0.00010780,0.00010910,0.00009650,0.00009860,4107391.97000000,424.84584648,22530
1608854400000,2020-12-25 00:00:00,EOS/BTC,0.00011250,0.00011330,0.00010600,0.00010790,5584528.48000000,611.27054927,28164
1608768000000,2020-12-24 00:00:00,EOS/BTC,0.00009970,0.00011430,0.00009760,0.00011240,8053213.12000000,856.82681431,37961
1608681600000,2020-12-23 00:00:00,EOS/BTC,0.00012170,0.00012200,0.00008560,0.00009970,10885820.56000000,1165.66204683,54829
1608595200000,2020-12-22 00:00:00,EOS/BTC,0.00012890,0.00012900,0.00011920,0.00012180,3507139.48000000,438.55723506,20053
1608508800000,2020-12-21 00:00:00,EOS/BTC,0.00013360,0.00013850,0.00012720,0.00012890,4941893.03000000,655.49264572,27223
1608422400000,2020-12-20 00:00:00,EOS/BTC,0.00012820,0.00013970,0.00012810,0.00013360,5466013.80000000,735.69948581,29698
1608336000000,2020-12-19 00:00:00,EOS/BTC,0.00013230,0.00013470,0.00012740,0.00012820,2798468.58000000,367.92552136,16226
1608249600000,2020-12-18 00:00:00,EOS/BTC,0.00013340,0.00013550,0.00013220,0.00013240,1806659.04000000,241.47590893,13398
1608163200000,2020-12-17 00:00:00,EOS/BTC,0.00014540,0.00014700,0.00013020,0.00013330,6248403.11000000,860.17716899,35969
1608076800000,2020-12-16 00:00:00,EOS/BTC,0.00014730,0.00014850,0.00014240,0.00014540,3908209.57000000,567.44117114,19711
1607990400000,2020-12-15 00:00:00,EOS/BTC,0.00014770,0.00014980,0.00014640,0.00014730,1494726.11000000,221.27534424,9829
1607904000000,2020-12-14 00:00:00,EOS/BTC,0.00014870,0.00014900,0.00014640,0.00014760,1304596.49000000,192.76794135,10994
1607817600000,2020-12-13 00:00:00,EOS/BTC,0.00014710,0.00015030,0.00014610,0.00014860,1903546.25000000,281.34096448,10474
1607731200000,2020-12-12 00:00:00,EOS/BTC,0.00014930,0.00015090,0.00014700,0.00014720,1828733.23000000,272.58725454,11021
1607644800000,2020-12-11 00:00:00,EOS/BTC,0.00015020,0.00015200,0.00014910,0.00014950,1657556.09000000,249.21580495,11321
1607558400000,2020-12-10 00:00:00,EOS/BTC,0.00015150,0.00015250,0.00014960,0.00015020,1371872.14000000,207.46942968,9806
1607472000000,2020-12-09 00:00:00,EOS/BTC,0.00015290,0.00015360,0.00015060,0.00015150,1695892.47000000,257.74092994,12117
1607385600000,2020-12-08 00:00:00,EOS/BTC,0.00015390,0.00015410,0.00014960,0.00015290,1935977.94000000,294.48880012,10991
1607299200000,2020-12-07 00:00:00,EOS/BTC,0.00015480,0.00015630,0.00015300,0.00015390,1234626.51000000,190.72044184,8907
1607212800000,2020-12-06 00:00:00,EOS/BTC,0.00015700,0.00015760,0.00015360,0.00015480,963162.44000000,149.24861554,7738
1607126400000,2020-12-05 00:00:00,EOS/BTC,0.00015260,0.00015730,0.00015230,0.00015720,1600804.67000000,246.73874819,9982
1607040000000,2020-12-04 00:00:00,EOS/BTC,0.00015840,0.00016250,0.00014960,0.00015260,2689122.38000000,423.24115760,20405
