unix,date,symbol,open,high,low,close,Volume NEO,Volume BTC,tradecount
1616112000000,2021-03-19 00:00:00,NEO/BTC,0.00075700,0.00075900,0.00075100,0.00075100,1280.74000000,0.96988616,201
1616025600000,2021-03-18 00:00:00,NEO/BTC,0.00078700,0.00081200,0.00074600,0.00075700,310352.11000000,240.79523365,22247
1615939200000,2021-03-17 00:00:00,NEO/BTC,0.00071800,0.00082300,0.00071100,0.00078900,639080.18000000,498.34255298,38423
1615852800000,2021-03-16 00:00:00,NEO/BTC,0.00069500,0.00073600,0.00069500,0.00071700,220713.13000000,157.79700875,15874
1615766400000,2021-03-15 00:00:00,NEO/BTC,0.00067000,0.00071700,0.00066300,0.00069500,240351.07000000,164.90198915,16101
1615680000000,2021-03-14 00:00:00,NEO/BTC,0.00068700,0.00069700,0.00066500,0.00067000,179083.41000000,120.80948592,10913
1615593600000,2021-03-13 00:00:00,NEO/BTC,0.00069700,0.00070900,0.00067300,0.00068700,223707.75000000,154.45034554,13955
1615507200000,2021-03-12 00:00:00,NEO/BTC,0.00072600,0.00073300,0.00068600,0.00069600,163866.27000000,116.17590469,11074
1615420800000,2021-03-11 00:00:00,NEO/BTC,0.00073300,0.00074400,0.00071200,0.00072700,214724.20000000,155.55741565,12789
1615334400000,2021-03-10 00:00:00,NEO/BTC,0.00077700,0.00077800,0.00072200,0.00073200,264616.21000000,198.36403979,15689
1615248000000,2021-03-09 00:00:00,NEO/BTC,0.00076700,0.00079200,0.00075100,0.00077600,196676.90000000,151.93819474,14927
1615161600000,2021-03-08 00:00:00,NEO/BTC,0.00077100,0.00078000,0.00075300,0.00076600,195641.33000000,149.55330792,10775
1615075200000,2021-03-07 00:00:00,NEO/BTC,0.00077900,0.00078500,0.00076000,0.00077000,131700.63000000,101.50326228,9178
1614988800000,2021-03-06 00:00:00,NEO/BTC,0.00076800,0.00079100,0.00076500,0.00077900,149725.73000000,117.01703646,8852
1614902400000,2021-03-05 00:00:00,NEO/BTC,0.00078300,0.00079100,0.00076500,0.00076800,191193.24000000,148.65304660,11333
1614816000000,2021-03-04 00:00:00,NEO/BTC,0.00078600,0.00079900,0.00077000,0.00078200,165327.61000000,129.88364233,12803
1614729600000,2021-03-03 00:00:00,NEO/BTC,0.00077900,0.00082100,0.00077500,0.00078800,203827.04000000,161.76386723,15161
1614643200000,2021-03-02 00:00:00,NEO/BTC,0.00076900,0.00079600,0.00076500,0.00078000,184628.33000000,143.61904153,12602
1614556800000,2021-03-01 00:00:00,NEO/BTC,0.00078100,0.00080600,0.00075900,0.00076900,220408.94000000,172.58665445,13776
1614470400000,2021-02-28 00:00:00,NEO/BTC,0.00080900,0.00081000,0.00073700,0.00078100,302426.91000000,232.21772633,18228
1614384000000,2021-02-27 00:00:00,NEO/BTC,0.00081400,0.00083200,0.00079800,0.00080900,196251.42000000,159.38745441,12884
1614297600000,2021-02-26 00:00:00,NEO/BTC,0.00081700,0.00085900,0.00078800,0.00081400,306562.87000000,250.69586483,19485
1614211200000,2021-02-25 00:00:00,NEO/BTC,0.00081800,0.00083800,0.00079800,0.00081700,282149.97000000,231.90317951,16457
1614124800000,2021-02-24 00:00:00,NEO/BTC,0.00079200,0.00086600,0.00078100,0.00081800,436688.31000000,361.45478462,25929
1614038400000,2021-02-23 00:00:00,NEO/BTC,0.00086700,0.00087600,0.00069600,0.00079100,701759.17000000,561.02564423,42995
1613952000000,2021-02-22 00:00:00,NEO/BTC,0.00095500,0.00096400,0.00083300,0.00086800,773713.33000000,688.73932171,53245
1613865600000,2021-02-21 00:00:00,NEO/BTC,0.00078600,0.00096100,0.00077000,0.00095600,1200921.82000000,1074.25297616,71549
1613779200000,2021-02-20 00:00:00,NEO/BTC,0.00085600,0.00089400,0.00075800,0.00078600,420245.23000000,352.94786811,30227
1613692800000,2021-02-19 00:00:00,NEO/BTC,0.00085100,0.00094300,0.00082600,0.00085600,604687.54000000,532.50274176,40060
1613606400000,2021-02-18 00:00:00,NEO/BTC,0.00081800,0.00086500,0.00081500,0.00084900,318091.33000000,266.82887545,21170
1613520000000,2021-02-17 00:00:00,NEO/BTC,0.00083200,0.00085700,0.00078500,0.00081700,366015.18000000,298.88058044,22367
1613433600000,2021-02-16 00:00:00,NEO/BTC,0.00086700,0.00090900,0.00081300,0.00083300,411532.45000000,354.36398829,27148
1613347200000,2021-02-15 00:00:00,NEO/BTC,0.00090600,0.00093300,0.00080000,0.00086800,817970.42000000,718.23200728,51594
1613260800000,2021-02-14 00:00:00,NEO/BTC,0.00090100,0.00096400,0.00082200,0.00090500,980967.11000000,887.39669682,54966
1613174400000,2021-02-13 00:00:00,NEO/BTC,0.00079500,0.00093000,0.00076100,0.00090100,827077.31000000,698.78765284,46022
1613088000000,2021-02-12 00:00:00,NEO/BTC,0.00075700,0.00080600,0.00074600,0.00079200,514883.28000000,398.87993916,30474
1613001600000,2021-02-11 00:00:00,NEO/BTC,0.00074600,0.00085000,0.00074000,0.00075800,897078.40000000,711.52162667,45219
1612915200000,2021-02-10 00:00:00,NEO/BTC,0.00066900,0.00078300,0.00065800,0.00074700,1101536.53000000,794.30486021,58613
1612828800000,2021-02-09 00:00:00,NEO/BTC,0.00059000,0.00068500,0.00056800,0.00066900,781064.78000000,498.70002401,36674
1612742400000,2021-02-08 00:00:00,NEO/BTC,0.00063100,0.00065600,0.00055900,0.00059000,482056.18000000,293.96628844,24192
1612656000000,2021-02-07 00:00:00,NEO/BTC,0.00063400,0.00065900,0.00062000,0.00063200,252590.58000000,160.47892633,14589
1612569600000,2021-02-06 00:00:00,NEO/BTC,0.00068100,0.00068400,0.00059900,0.00063200,383521.96000000,240.75757177,20071
1612483200000,2021-02-05 00:00:00,NEO/BTC,0.00064300,0.00069900,0.00064000,0.00068200,441785.45000000,293.19488919,20766
1612396800000,2021-02-04 00:00:00,NEO/BTC,0.00065500,0.00066300,0.00061800,0.00064300,273545.20000000,174.23075762,16820
1612310400000,2021-02-03 00:00:00,NEO/BTC,0.00066900,0.00068000,0.00064900,0.00065600,283153.91000000,188.39558541,15679
1612224000000,2021-02-02 00:00:00,NEO/BTC,0.00069000,0.00069500,0.00064500,0.00066900,297331.26000000,198.99688818,15286
1612137600000,2021-02-01 00:00:00,NEO/BTC,0.00067400,0.00071400,0.00065000,0.00068900,360049.29000000,242.62449887,20716
1612051200000,2021-01-31 00:00:00,NEO/BTC,0.00066700,0.00069800,0.00065400,0.00067300,291502.64000000,195.61160545,15530
1611964800000,2021-01-30 00:00:00,NEO/BTC,0.00065800,0.00067100,0.00064500,0.00066800,309726.78000000,203.45973347,13692
1611878400000,2021-01-29 00:00:00,NEO/BTC,0.00066700,0.00070000,0.00060100,0.00065900,476224.43000000,308.85118075,24334
1611792000000,2021-01-28 00:00:00,NEO/BTC,0.00069300,0.00072600,0.00066700,0.00066700,216162.08000000,150.89727323,13033
1611705600000,2021-01-27 00:00:00,NEO/BTC,0.00071200,0.00071400,0.00067600,0.00069300,180322.48000000,125.32160944,10793
1611619200000,2021-01-26 00:00:00,NEO/BTC,0.00072300,0.00073900,0.00070900,0.00071300,121683.73000000,88.12399426,8675
1611532800000,2021-01-25 00:00:00,NEO/BTC,0.00075800,0.00077200,0.00070900,0.00072300,200131.79000000,146.94782794,11969
1611446400000,2021-01-24 00:00:00,NEO/BTC,0.00076200,0.00079900,0.00075200,0.00075800,283454.95000000,218.81209241,15786
1611360000000,2021-01-23 00:00:00,NEO/BTC,0.00071100,0.00079500,0.00071000,0.00076200,332079.64000000,251.12224723,17034
1611273600000,2021-01-22 00:00:00,NEO/BTC,0.00071800,0.00076400,0.00070700,0.00071000,292539.82000000,213.05737148,16443
1611187200000,2021-01-21 00:00:00,NEO/BTC,0.00073500,0.00076100,0.00071400,0.00071600,344505.12000000,252.81609361,17860
1611100800000,2021-01-20 00:00:00,NEO/BTC,0.00073300,0.00074200,0.00069500,0.00073400,301888.24000000,217.69752100,18123
1611014400000,2021-01-19 00:00:00,NEO/BTC,0.00074000,0.00077700,0.00070600,0.00073300,614589.22000000,455.18940559,29226
1610928000000,2021-01-18 00:00:00,NEO/BTC,0.00066500,0.00079200,0.00065500,0.00074000,914159.33000000,671.19117124,39766
1610841600000,2021-01-17 00:00:00,NEO/BTC,0.00065500,0.00069800,0.00063600,0.00066500,355575.76000000,233.31143065,16821
1610755200000,2021-01-16 00:00:00,NEO/BTC,0.00063800,0.00066400,0.00063200,0.00065500,279372.78000000,180.80821260,15374
1610668800000,2021-01-15 00:00:00,NEO/BTC,0.00059000,0.00067100,0.00058200,0.00063800,513922.70000000,325.21886767,23121
1610582400000,2021-01-14 00:00:00,NEO/BTC,0.00062100,0.00062100,0.00058000,0.00059000,277806.26000000,165.04695271,14704
1610496000000,2021-01-13 00:00:00,NEO/BTC,0.00065000,0.00065300,0.00060300,0.00062100,492174.33000000,311.90828794,21829
1610409600000,2021-01-12 00:00:00,NEO/BTC,0.00066900,0.00069300,0.00062900,0.00065000,428321.02000000,280.57744242,21094
1610323200000,2021-01-11 00:00:00,NEO/BTC,0.00065400,0.00073000,0.00059600,0.00066700,1633038.25000000,1091.13500105,69139
1610236800000,2021-01-10 00:00:00,NEO/BTC,0.00053300,0.00068900,0.00052700,0.00065400,1312513.01000000,777.66498785,47846
1610150400000,2021-01-09 00:00:00,NEO/BTC,0.00048700,0.00053400,0.00047600,0.00053200,443715.87000000,226.78373766,18947
1610064000000,2021-01-08 00:00:00,NEO/BTC,0.00053100,0.00054100,0.00047800,0.00048700,447292.25000000,225.63887509,19516
1609977600000,2021-01-07 00:00:00,NEO/BTC,0.00053200,0.00058200,0.00051100,0.00053000,951743.50000000,516.29241175,37702
1609891200000,2021-01-06 00:00:00,NEO/BTC,0.00049600,0.00058800,0.00048000,0.00053100,757166.37000000,404.99444804,27783
1609804800000,2021-01-05 00:00:00,NEO/BTC,0.00051100,0.00054900,0.00048300,0.00049800,501053.63000000,256.05893938,17871
1609718400000,2021-01-04 00:00:00,NEO/BTC,0.00048600,0.00053900,0.00048500,0.00051200,541403.87000000,276.12923475,23284
1609632000000,2021-01-03 00:00:00,NEO/BTC,0.00044800,0.00049000,0.00040400,0.00048600,474301.33000000,211.02901584,15617
1609545600000,2021-01-02 00:00:00,NEO/BTC,0.00049300,0.00050000,0.00043400,0.00044800,341238.23000000,157.41509187,10684
1609459200000,2021-01-01 00:00:00,NEO/BTC,0.00049300,0.00050600,0.00048900,0.00049200,183254.11000000,91.20441055,6157
1609372800000,2020-12-31 00:00:00,NEO/BTC,0.00050900,0.00051000,0.00048600,0.00049300,189471.66000000,94.47592946,7060
1609286400000,2020-12-30 00:00:00,NEO/BTC,0.00054900,0.00055200,0.00050400,0.00050900,195394.02000000,102.45135032,8759
1609200000000,2020-12-29 00:00:00,NEO/BTC,0.00057700,0.00059200,0.00054400,0.00055000,216549.30000000,121.41769746,9578
1609113600000,2020-12-28 00:00:00,NEO/BTC,0.00057600,0.00060300,0.00055800,0.00057800,226068.39000000,130.84514685,9922
1609027200000,2020-12-27 00:00:00,NEO/BTC,0.00056600,0.00058400,0.00051600,0.00057600,354251.42000000,195.95459997,12522
1608940800000,2020-12-26 00:00:00,NEO/BTC,0.00061300,0.00061700,0.00055900,0.00056600,243587.13000000,141.83422416,10175
1608854400000,2020-12-25 00:00:00,NEO/BTC,0.00064300,0.00066000,0.00060800,0.00061400,210034.53000000,133.23586362,8925
1608768000000,2020-12-24 00:00:00,NEO/BTC,0.00058000,0.00064700,0.00057100,0.00064300,207643.76000000,125.70338586,9107
1608681600000,2020-12-23 00:00:00,NEO/BTC,0.00069300,0.00069900,0.00053200,0.00058000,363997.42000000,231.42315323,16680
1608595200000,2020-12-22 00:00:00,NEO/BTC,0.00072600,0.00072900,0.00068900,0.00069400,146762.63000000,104.44788301,8202
1608508800000,2020-12-21 00:00:00,NEO/BTC,0.00074700,0.00075300,0.00071300,0.00072700,459179.37000000,336.02374414,14413
1608422400000,2020-12-20 00:00:00,NEO/BTC,0.00074900,0.00078100,0.00073500,0.00074700,221190.74000000,168.10095188,11339
1608336000000,2020-12-19 00:00:00,NEO/BTC,0.00077500,0.00080400,0.00074100,0.00074900,198579.31000000,153.21032550,10065
1608249600000,2020-12-18 00:00:00,NEO/BTC,0.00077900,0.00080200,0.00076700,0.00077500,254945.18000000,199.33793933,11217
1608163200000,2020-12-17 00:00:00,NEO/BTC,0.00084200,0.00085500,0.00076400,0.00077700,401333.21000000,322.94243059,18392
1608076800000,2020-12-16 00:00:00,NEO/BTC,0.00088000,0.00088100,0.00083100,0.00084100,220740.05000000,188.39541778,10211
1607990400000,2020-12-15 00:00:00,NEO/BTC,0.00090200,0.00090500,0.00087400,0.00088000,130938.72000000,116.12773963,7404
1607904000000,2020-12-14 00:00:00,NEO/BTC,0.00090200,0.00091800,0.00088900,0.00090200,95197.03000000,85.79916559,5776
1607817600000,2020-12-13 00:00:00,NEO/BTC,0.00087600,0.00091800,0.00087300,0.00090000,139898.35000000,125.50991677,7904
1607731200000,2020-12-12 00:00:00,NEO/BTC,0.00088100,0.00090800,0.00087100,0.00087600,102770.90000000,91.32147133,5745
1607644800000,2020-12-11 00:00:00,NEO/BTC,0.00089100,0.00089900,0.00087400,0.00088200,108765.08000000,96.24720324,6437
1607558400000,2020-12-10 00:00:00,NEO/BTC,0.00091200,0.00091400,0.00088600,0.00089100,138788.96000000,125.04336299,6851
1607472000000,2020-12-09 00:00:00,NEO/BTC,0.00089700,0.00092500,0.00087800,0.00091100,148655.24000000,134.11708736,7471
1607385600000,2020-12-08 00:00:00,NEO/BTC,0.00091100,0.00091400,0.00088100,0.00089900,117876.49000000,105.85957319,6767
1607299200000,2020-12-07 00:00:00,NEO/BTC,0.00092500,0.00092800,0.00090900,0.00091000,83368.03000000,76.59138464,4839
1607212800000,2020-12-06 00:00:00,NEO/BTC,0.00093900,0.00094100,0.00092000,0.00092500,62302.27000000,57.96779524,3836
1607126400000,2020-12-05 00:00:00,NEO/BTC,0.00092600,0.00094400,0.00091900,0.00093700,86323.06000000,80.64080430,4413
1607040000000,2020-12-04 00:00:00,NEO/BTC,0.00097100,0.00097700,0.00091800,0.00092600,152326.46000000,144.30543631,7708
