unix,date,symbol,open,high,low,close,Volume DASH,Volume BTC,tradecount
1616112000000,2021-03-19 00:00:00,DASH/BTC,0.00392000,0.00392200,0.00388800,0.00389300,113.97900000,0.44489538,78
1616025600000,2021-03-18 00:00:00,DASH/BTC,0.00389300,0.00407200,0.00385000,0.00391700,31174.86500000,122.46550665,20035
1615939200000,2021-03-17 00:00:00,DASH/BTC,0.00393000,0.00415500,0.00388300,0.00389300,29453.42900000,118.04068991,18939
1615852800000,2021-03-16 00:00:00,DASH/BTC,0.00398100,0.00403800,0.00392300,0.00393000,37472.90100000,148.92512679,18399
1615766400000,2021-03-15 00:00:00,DASH/BTC,0.00391500,0.00402400,0.00386300,0.00397900,33596.41900000,132.75028934,18404
1615680000000,2021-03-14 00:00:00,DASH/BTC,0.00397500,0.00410100,0.00389000,0.00391700,38276.31500000,152.07463593,20980
1615593600000,2021-03-13 00:00:00,DASH/BTC,0.00392600,0.00402300,0.00384700,0.00397600,48338.10100000,189.85256633,28016
1615507200000,2021-03-12 00:00:00,DASH/BTC,0.00407400,0.00417900,0.00386300,0.00392600,43165.15000000,173.19061406,22787
1615420800000,2021-03-11 00:00:00,DASH/BTC,0.00419600,0.00440500,0.00406700,0.00407300,42417.64300000,177.00818331,24070
1615334400000,2021-03-10 00:00:00,DASH/BTC,0.00445700,0.00463400,0.00417200,0.00419400,54806.33600000,236.61076306,28744
1615248000000,2021-03-09 00:00:00,DASH/BTC,0.00416500,0.00450200,0.00408600,0.00444900,55938.38700000,240.11913837,25370
1615161600000,2021-03-08 00:00:00,DASH/BTC,0.00421200,0.00428700,0.00408300,0.00417300,39616.63600000,165.20885511,17502
1615075200000,2021-03-07 00:00:00,DASH/BTC,0.00426800,0.00427400,0.00412800,0.00421300,21780.17900000,91.46037919,10876
1614988800000,2021-03-06 00:00:00,DASH/BTC,0.00422000,0.00432900,0.00421200,0.00426800,18338.76300000,78.30542962,9423
1614902400000,2021-03-05 00:00:00,DASH/BTC,0.00437000,0.00439100,0.00420200,0.00422200,35533.09500000,152.07490566,15408
1614816000000,2021-03-04 00:00:00,DASH/BTC,0.00442300,0.00449600,0.00430300,0.00436600,39224.49100000,172.07729108,15953
1614729600000,2021-03-03 00:00:00,DASH/BTC,0.00446000,0.00459100,0.00436700,0.00442000,23691.53300000,106.03948803,15268
1614643200000,2021-03-02 00:00:00,DASH/BTC,0.00453200,0.00467600,0.00442200,0.00446200,31176.88200000,140.99470262,18818
1614556800000,2021-03-01 00:00:00,DASH/BTC,0.00436000,0.00455300,0.00427400,0.00453100,34415.62500000,150.94073519,19441
1614470400000,2021-02-28 00:00:00,DASH/BTC,0.00456800,0.00457500,0.00420500,0.00435900,32770.05800000,143.13398681,18455
1614384000000,2021-02-27 00:00:00,DASH/BTC,0.00445900,0.00469800,0.00440800,0.00457200,26665.92500000,121.49747853,18574
1614297600000,2021-02-26 00:00:00,DASH/BTC,0.00464200,0.00468000,0.00444000,0.00446600,31290.88600000,143.01353819,19657
1614211200000,2021-02-25 00:00:00,DASH/BTC,0.00477800,0.00492100,0.00462600,0.00463500,36570.09500000,173.40267279,20863
1614124800000,2021-02-24 00:00:00,DASH/BTC,0.00472700,0.00519700,0.00463600,0.00477600,82290.87900000,401.41439765,33917
1614038400000,2021-02-23 00:00:00,DASH/BTC,0.00502000,0.00504200,0.00438600,0.00473000,107824.56700000,507.01108418,48943
1613952000000,2021-02-22 00:00:00,DASH/BTC,0.00525000,0.00528200,0.00464800,0.00501800,88370.68300000,440.74505928,46763
1613865600000,2021-02-21 00:00:00,DASH/BTC,0.00532600,0.00559400,0.00511100,0.00525200,56188.86200000,297.89320331,32192
1613779200000,2021-02-20 00:00:00,DASH/BTC,0.00579300,0.00598400,0.00510400,0.00532100,106309.14800000,594.12260220,57358
1613692800000,2021-02-19 00:00:00,DASH/BTC,0.00545700,0.00647400,0.00529100,0.00579300,198411.85400000,1184.92606120,90847
1613606400000,2021-02-18 00:00:00,DASH/BTC,0.00510300,0.00591800,0.00497700,0.00545000,151884.96000000,827.73250530,63507
1613520000000,2021-02-17 00:00:00,DASH/BTC,0.00508000,0.00520700,0.00477800,0.00510000,93472.52900000,467.19007383,45795
1613433600000,2021-02-16 00:00:00,DASH/BTC,0.00541800,0.00566400,0.00499700,0.00507400,132949.15800000,706.29937321,61399
1613347200000,2021-02-15 00:00:00,DASH/BTC,0.00475000,0.00605500,0.00426300,0.00541500,288642.92400000,1540.41263952,119626
1613260800000,2021-02-14 00:00:00,DASH/BTC,0.00567600,0.00588500,0.00459300,0.00474100,166914.50300000,851.11803754,83120
1613174400000,2021-02-13 00:00:00,DASH/BTC,0.00358700,0.00638600,0.00358000,0.00567400,421966.29800000,2166.04769847,176089
1613088000000,2021-02-12 00:00:00,DASH/BTC,0.00343500,0.00364900,0.00330900,0.00358800,83420.25800000,287.83922909,33483
1613001600000,2021-02-11 00:00:00,DASH/BTC,0.00311500,0.00352900,0.00303800,0.00343500,113458.24900000,374.21756964,45156
1612915200000,2021-02-10 00:00:00,DASH/BTC,0.00295800,0.00319100,0.00287400,0.00311600,83427.77300000,250.84141463,32692
1612828800000,2021-02-09 00:00:00,DASH/BTC,0.00272100,0.00297000,0.00264600,0.00295800,61356.85400000,170.09488723,25348
1612742400000,2021-02-08 00:00:00,DASH/BTC,0.00304800,0.00308000,0.00266100,0.00272300,88601.88200000,255.68782121,34933
1612656000000,2021-02-07 00:00:00,DASH/BTC,0.00303600,0.00314300,0.00295900,0.00305000,51966.85200000,157.69895073,21129
1612569600000,2021-02-06 00:00:00,DASH/BTC,0.00314200,0.00314500,0.00287900,0.00303500,88727.62500000,265.18445292,26555
1612483200000,2021-02-05 00:00:00,DASH/BTC,0.00300500,0.00321300,0.00299500,0.00314500,79647.20700000,248.82983410,25521
1612396800000,2021-02-04 00:00:00,DASH/BTC,0.00310400,0.00312400,0.00296300,0.00300400,55031.29800000,166.57755102,22335
1612310400000,2021-02-03 00:00:00,DASH/BTC,0.00309700,0.00331100,0.00304100,0.00310300,112375.78600000,355.69430923,32318
1612224000000,2021-02-02 00:00:00,DASH/BTC,0.00309500,0.00322000,0.00299200,0.00309700,67341.13300000,207.36300106,22458
1612137600000,2021-02-01 00:00:00,DASH/BTC,0.00309400,0.00312100,0.00302000,0.00309000,40333.13000000,123.60184611,16333
1612051200000,2021-01-31 00:00:00,DASH/BTC,0.00306900,0.00314000,0.00302200,0.00309400,30726.84800000,94.90342747,17132
1611964800000,2021-01-30 00:00:00,DASH/BTC,0.00305400,0.00310800,0.00297200,0.00306900,35582.69900000,108.22921103,18377
1611878400000,2021-01-29 00:00:00,DASH/BTC,0.00308100,0.00319600,0.00279300,0.00305200,89471.10300000,265.74437421,38763
1611792000000,2021-01-28 00:00:00,DASH/BTC,0.00317700,0.00333500,0.00306300,0.00307800,51140.72000000,162.94790445,20037
1611705600000,2021-01-27 00:00:00,DASH/BTC,0.00322900,0.00324600,0.00311300,0.00317700,36675.07400000,116.64191337,15083
1611619200000,2021-01-26 00:00:00,DASH/BTC,0.00325300,0.00328000,0.00320000,0.00323000,26053.68700000,84.51833410,12390
1611532800000,2021-01-25 00:00:00,DASH/BTC,0.00329300,0.00335500,0.00318600,0.00325400,43406.27000000,141.61400922,19613
1611446400000,2021-01-24 00:00:00,DASH/BTC,0.00328200,0.00338600,0.00325200,0.00329300,30563.15500000,101.40589699,15261
1611360000000,2021-01-23 00:00:00,DASH/BTC,0.00317800,0.00333200,0.00317000,0.00328200,30166.90200000,98.67556816,15130
1611273600000,2021-01-22 00:00:00,DASH/BTC,0.00323500,0.00335800,0.00307500,0.00318000,76379.09100000,243.72144127,32133
1611187200000,2021-01-21 00:00:00,DASH/BTC,0.00341700,0.00344100,0.00321700,0.00323600,69928.78900000,231.22606134,30383
1611100800000,2021-01-20 00:00:00,DASH/BTC,0.00347100,0.00351100,0.00328100,0.00341300,72018.88600000,243.49688342,32852
1611014400000,2021-01-19 00:00:00,DASH/BTC,0.00353300,0.00363200,0.00340100,0.00346700,42387.04800000,149.17846333,19398
1610928000000,2021-01-18 00:00:00,DASH/BTC,0.00346500,0.00366000,0.00332200,0.00353100,55378.64900000,194.24554950,19383
1610841600000,2021-01-17 00:00:00,DASH/BTC,0.00346900,0.00355000,0.00335700,0.00346700,55820.06900000,193.16103367,18023
1610755200000,2021-01-16 00:00:00,DASH/BTC,0.00338300,0.00355200,0.00334600,0.00346600,36482.88500000,125.30728844,19251
1610668800000,2021-01-15 00:00:00,DASH/BTC,0.00339600,0.00355500,0.00334600,0.00338300,57129.76100000,195.40470511,21975
1610582400000,2021-01-14 00:00:00,DASH/BTC,0.00355800,0.00358000,0.00333700,0.00339400,75110.00800000,258.11676517,26426
1610496000000,2021-01-13 00:00:00,DASH/BTC,0.00377500,0.00393300,0.00355700,0.00356000,61823.53400000,232.36075586,29006
1610409600000,2021-01-12 00:00:00,DASH/BTC,0.00353500,0.00387400,0.00344300,0.00377500,75871.61500000,276.00024774,34591
1610323200000,2021-01-11 00:00:00,DASH/BTC,0.00384500,0.00408800,0.00341000,0.00353500,232729.54000000,854.18850035,91657
1610236800000,2021-01-10 00:00:00,DASH/BTC,0.00274300,0.00399100,0.00273500,0.00384500,379931.28900000,1355.49664608,130638
1610150400000,2021-01-09 00:00:00,DASH/BTC,0.00237000,0.00276200,0.00235800,0.00274300,58375.64800000,149.16252791,20560
1610064000000,2021-01-08 00:00:00,DASH/BTC,0.00251200,0.00255500,0.00232900,0.00237300,50999.95100000,124.07321777,15104
1609977600000,2021-01-07 00:00:00,DASH/BTC,0.00256400,0.00302000,0.00250100,0.00251000,79490.29700000,211.37986509,25492
1609891200000,2021-01-06 00:00:00,DASH/BTC,0.00262600,0.00280800,0.00252900,0.00255900,46531.98400000,123.07317014,17553
1609804800000,2021-01-05 00:00:00,DASH/BTC,0.00278100,0.00287300,0.00259400,0.00262400,39747.38100000,108.22696771,13970
1609718400000,2021-01-04 00:00:00,DASH/BTC,0.00271600,0.00306800,0.00271400,0.00278200,60336.94900000,171.15659022,20267
1609632000000,2021-01-03 00:00:00,DASH/BTC,0.00269900,0.00292800,0.00246700,0.00271500,67304.38700000,177.34731070,20360
1609545600000,2021-01-02 00:00:00,DASH/BTC,0.00300100,0.00305900,0.00269000,0.00270000,126886.84800000,366.04663975,30009
1609459200000,2021-01-01 00:00:00,DASH/BTC,0.00344200,0.00358200,0.00294800,0.00299900,124528.67200000,394.68036530,25778
1609372800000,2020-12-31 00:00:00,DASH/BTC,0.00352400,0.00354400,0.00337800,0.00343900,34759.44000000,119.36388251,8738
1609286400000,2020-12-30 00:00:00,DASH/BTC,0.00379800,0.00415800,0.00347600,0.00352500,56529.10000000,203.62976639,16066
1609200000000,2020-12-29 00:00:00,DASH/BTC,0.00395600,0.00403700,0.00375300,0.00379600,30091.86200000,116.07412520,10851
1609113600000,2020-12-28 00:00:00,DASH/BTC,0.00409000,0.00414200,0.00389600,0.00395600,45360.58000000,181.14193293,18415
1609027200000,2020-12-27 00:00:00,DASH/BTC,0.00407600,0.00415200,0.00367100,0.00408800,82113.98900000,324.64081744,26222
1608940800000,2020-12-26 00:00:00,DASH/BTC,0.00416800,0.00438100,0.00403400,0.00408100,61735.90200000,260.18810685,21057
1608854400000,2020-12-25 00:00:00,DASH/BTC,0.00415300,0.00433400,0.00407600,0.00417900,44629.96400000,188.32771941,17471
1608768000000,2020-12-24 00:00:00,DASH/BTC,0.00393100,0.00420400,0.00383600,0.00415200,30775.44600000,122.37746350,13776
1608681600000,2020-12-23 00:00:00,DASH/BTC,0.00444100,0.00446200,0.00381400,0.00393200,37514.68400000,155.28042578,16183
1608595200000,2020-12-22 00:00:00,DASH/BTC,0.00457000,0.00459900,0.00428900,0.00444300,34184.39400000,151.88370573,16484
1608508800000,2020-12-21 00:00:00,DASH/BTC,0.00466800,0.00501100,0.00453200,0.00457300,48171.78200000,226.99705368,20174
1608422400000,2020-12-20 00:00:00,DASH/BTC,0.00454700,0.00483100,0.00450000,0.00466800,30319.23100000,141.82759950,14259
1608336000000,2020-12-19 00:00:00,DASH/BTC,0.00467300,0.00475000,0.00452400,0.00454300,20865.52000000,96.78051205,11564
1608249600000,2020-12-18 00:00:00,DASH/BTC,0.00474600,0.00493000,0.00462500,0.00467000,32381.97000000,154.21096449,14746
1608163200000,2020-12-17 00:00:00,DASH/BTC,0.00493500,0.00498000,0.00440000,0.00474400,47194.24100000,221.50182308,25230
1608076800000,2020-12-16 00:00:00,DASH/BTC,0.00498900,0.00500900,0.00483100,0.00493400,31786.70300000,156.43797902,11272
1607990400000,2020-12-15 00:00:00,DASH/BTC,0.00501700,0.00502600,0.00491100,0.00499100,14406.19200000,71.54481125,5785
1607904000000,2020-12-14 00:00:00,DASH/BTC,0.00509100,0.00509400,0.00494200,0.00501700,19309.96900000,96.78467001,8115
1607817600000,2020-12-13 00:00:00,DASH/BTC,0.00503600,0.00514800,0.00498100,0.00509100,16700.37400000,84.76800500,6927
1607731200000,2020-12-12 00:00:00,DASH/BTC,0.00516600,0.00530400,0.00500800,0.00503800,22142.95000000,114.16963719,8905
1607644800000,2020-12-11 00:00:00,DASH/BTC,0.00509100,0.00528600,0.00495100,0.00516700,22038.56600000,113.09585079,9662
1607558400000,2020-12-10 00:00:00,DASH/BTC,0.00516200,0.00519500,0.00504700,0.00509100,10579.82700000,54.03767309,5529
1607472000000,2020-12-09 00:00:00,DASH/BTC,0.00518700,0.00519500,0.00500000,0.00515900,15561.19900000,79.29318772,8097
1607385600000,2020-12-08 00:00:00,DASH/BTC,0.00529500,0.00529900,0.00508400,0.00518700,20451.40800000,105.76399843,9744
1607299200000,2020-12-07 00:00:00,DASH/BTC,0.00527100,0.00540000,0.00524100,0.00529600,12110.19200000,64.53982063,7055
1607212800000,2020-12-06 00:00:00,DASH/BTC,0.00537700,0.00543400,0.00524700,0.00527300,8042.19000000,42.80021660,5364
1607126400000,2020-12-05 00:00:00,DASH/BTC,0.00529800,0.00542800,0.00520300,0.00538000,14340.93000000,76.24176432,7687
1607040000000,2020-12-04 00:00:00,DASH/BTC,0.00553500,0.00573700,0.00522200,0.00529900,22254.80900000,122.23617654,12291
